MPC Date,Flesch,Flesch and Kincaid,Gunning Fog,Smog
20000113,37.50625992995515,14.089933158580497,16.7414395239166,16.617983033325096
20000302,43.968693562198354,13.203649941060032,15.930875647783635,15.688483145680365
20000406,34.640164746139675,14.250092156661552,17.43283421107264,16.889025550127013
20000519,40.957313659542166,13.11952856264563,15.687015194490511,15.590538767407484
20000615,44.773487151339,12.480024841775418,15.675018038633603,15.364192233265825
20000811,41.377525326947904,12.717332842144042,15.637787806225825,15.494778757091964
20000921,40.67590532464004,13.003466449334422,15.778375441456127,15.557879425188943
20001016,40.202305110996406,13.117413526071246,15.477955601445537,
20001116,40.890359300996266,13.149406421238183,15.772933033728116,16.07818468340257
20010119,41.89578161161373,13.07652559861409,15.749621067992894,15.995042911823809
20010316,44.58572878536674,12.760073101933596,15.658931570561132,15.549919911452193
20010425,41.39242781310159,13.380214081549322,16.360701808966407,16.095774075578458
20010614,45.49167007382172,12.245854303561288,15.06060517563073,15.09928186996338
20010726,45.97875153751539,12.787727870382156,15.705823472027825,15.332492024209976
20010920,40.650475749150445,13.461016177040275,16.008514644659225,15.790391312196704
20011115,40.59669600228571,13.136451981564047,15.729499778197159,15.867323456292084
20020115,32.42055555555555,13.029012345679014,14.607407407407408,
20020314,42.91045281260591,12.478327685530331,15.391562182311084,15.350803472480045
20020613,48.04397560975613,11.585579558652729,14.829949670925282,14.716664368753253
20020912,38.94470108695654,13.878458583208396,17.026724137931037,16.18636605090583
20021128,45.31301249001527,12.884550141601917,16.220201873502287,15.628445302003758
20030320,39.730811930419236,13.879953698078214,17.176029162536373,16.370756985712653
20030612,45.37089480165935,12.66267925561029,16.446659752830353,15.768009659002274
20030814,42.8771116584565,13.732279146141217,17.230607553366173,16.072389612768465
20030910,40.38108010335918,13.322754521963827,16.476485788113695,16.04434344847333
20031016,40.15594026548672,14.39396755162242,17.860471976401183,16.74814014606022
20031211,39.23101537915116,13.754443402592788,17.36282436512165,16.567214971974305
20040226,40.84637355718783,14.05412891620447,17.586077049917556,16.733868906526858
20040422,43.62731759603673,13.439936963033677,16.824019882155437,16.052598638481125
20040610,42.101722222222236,13.442293650793655,16.70873015873016,15.963873858545384
20040812,38.61030383573069,14.934079633104023,18.37352511986658,16.84431866091338
20041014,41.17941176470592,13.448272841051317,16.903295786399667,16.18192922340188
20041209,37.14508398247324,14.355928675754626,17.627799415774103,16.79381592334882
20050210,41.35295669969841,14.351640576379914,17.743951361960843,16.508210889062028
20050414,39.688556910569105,13.54234610917538,16.844831591173058,16.024273127957606
20050609,40.713483162306716,13.605750831044947,16.674953027894205,15.711871216488301
20050811,43.60256097560978,12.763670150987227,16.2006968641115,15.438520173184436
20051013,41.41061856724926,13.228200572979038,16.480238286519835,15.868617662386995
20051208,40.03288862688194,13.43647620775138,16.44338835479775,16.260694235360845
20060202,39.88522480620156,13.16408527131783,16.0337984496124,16.17285649880049
20060413,44.311349895871956,12.496554574608083,16.04567836563646,15.575793652997419
20060608,42.693264062871776,13.526153092502138,17.149386258345345,16.091683404303076
20060803,42.09677480643782,12.725009791588313,16.101687265747596,15.480658293962613
20061012,42.90512124871279,12.5485388471571,16.003364331603077,15.398748113891028
20061207,37.94001317675344,13.545560589948682,16.574839336076565,16.469907927662803
20070215,42.63030875831487,12.867541019955656,16.108425720620843,15.917696780477378
20070412,41.93487951807231,13.064400458978778,16.172461273666094,16.069387574084278
20070607,41.06101440809971,12.847095015576325,16.094236760124613,15.593386394033956
20070816,43.959149874945496,13.041508704656206,16.670614334261256,15.696500626960155
20071011,42.729236479321344,12.78329798515377,16.156521739130437,15.683200544754484
20071206,38.22204953576389,13.118007793305,16.68671086321198,16.16302759275387
20080131,43.208766524520286,12.024972281449898,15.431613361762619,15.324365433765678
20080410,39.62802607130416,12.995535071420278,16.261572407385902,15.870808502772313
20080612,39.58533578862199,13.356306743673446,16.65088585697944,16.001076179640435
20080814,42.26058990719258,12.502944315545246,15.696566125290026,15.314804267706485
20081009,41.7507211858761,12.940907728181212,16.09947812569398,15.691223873077021
20081211,36.37819662713122,13.753845070422535,17.00407709414381,16.638392488973345
20090205,38.52573402868319,13.079820512820515,16.48220773576706,16.233022337047963
20090324,34.77657290638339,14.513347005742414,17.846520487757402,17.078339865676863
20090430,41.02356750655551,13.0898428658741,16.654123538573767,16.20919858873048
20090528,42.180003761345716,12.096190558405684,15.685127269139702,15.331531391939887
20090625,42.22923013350288,12.69530959949142,15.987726213180759,15.665141646143574
20090813,44.15947075282443,12.28396790201668,15.498363425192693,15.165781757331324
20090922,41.32385551629372,12.850645016546078,15.994727690840765,15.739935156060575
20091022,40.62785736401591,13.072785601566093,16.15504684285172,15.980374538843503
20091117,38.98544617958731,12.868879770536214,16.56569197673492,15.919767976017798
20100126,35.882548523206765,13.667019060090208,17.039953441001018,16.53367553122865
20100325,35.74301485438963,13.583401141207563,17.135436104318213,16.441279058678656
20100513,38.92061497326202,13.076096256684494,16.778609625668448,16.09708585658045
20100722,34.93778938486162,13.87782311180418,17.424463959620002,16.52667757954773
20100909,38.18150384387937,13.294636704119853,16.559227281687363,15.781592585715234
20101118,35.15811023892692,14.017536788557631,17.699755530636008,16.74027119178659
20110120,40.59104908960225,12.793700285651504,16.373173338696283,15.903189008614273
20110324,39.127394236611025,13.367566928479956,17.074284165759718,16.297111906729032
20110512,39.841544850498366,13.524307862679958,16.815060908084167,16.196884593650392
20110721,42.10536040701581,13.310134609620722,16.784288462195107,15.84102762265012
20110922,41.48319602475692,13.45015521948065,17.029508246034908,16.026613025114948
20111110,38.14283320785711,13.729200693541397,17.203931284648554,16.326461494672056
20120119,35.34309077733107,14.518968498972352,17.976833192764673,17.21825913582635
20120329,38.14451058294907,14.34015483369652,18.060792918799304,17.07791944825439
20120524,40.22192425196127,13.178004052995995,16.56595176320678,15.9992361430104
20120719,41.45047965458909,13.374492352704632,16.73647128970978,15.915011398010613
20120920,40.180932247557024,13.510682736156351,17.042241042345278,16.01511068445933
20121122,35.846944868741275,14.248937244343189,17.77872417542588,16.760373879599264
20130124,35.51880893660237,14.354482746912534,18.101236221760587,17.060358492535435
20130523,36.33404304102979,14.314719227674981,17.90458567980692,16.63694756758422
20130320,39.311010214518916,14.20963687315221,18.01186397455478,16.794078804927963
20130718,40.786195242499986,14.332961909626828,18.22188781356564,16.499704374052566
20130913,36.11316958883654,15.50211463259042,19.302156655767533,17.165938588873686
20131121,39.9538290395013,14.356048453334122,17.727927438177684,16.548804064614025
20140129,39.35666058394162,14.769424748001391,18.49468196037539,16.986400399969686
20140327,37.64164762282195,15.060318653081577,18.98040320621812,17.122413403193683
20140522,41.53056026137463,13.836372189026495,17.798178500294867,16.26156277491327
20140717,40.62344664449168,14.515334480788102,18.37862000350611,16.472104735285587
20140918,35.757954800816606,14.934222107103235,18.660506066218648,17.169736207877165
20141120,35.99611090540162,15.268872580239051,18.856199179465914,17.198494114447982
20150129,39.94957744522668,14.307165320878553,17.94604937431065,16.574252477024377
20150326,37.011164394191354,14.925133323831698,18.51875655217192,16.864605014377883
20150521,39.700695889112694,13.809044781424003,17.70536192394266,16.2646361883907
